# SEU Times,,,,,,,,,
#Time, Latitude (deg), Longitude (deg), Altitude (km), GEO_x (km), GEO_y (km), GEO_z (km), GEO_vx (km/s), GEO_vy (km/s), GEO_vz (km/s)
18/10/2014 9:04,64.545,148.314,904.06,-2669.756,1647.952,6552.391,4.196986,-5.465302,2.457979
20/10/2014 8:19,-40.972,128.341,1405.63,-3650.037,4614.981,-5081.704,-3.598495,2.942419,4.990839
22/10/2014 4:56,-3.767,-177.26,1366.96,-7719.617,-369.447,-506.05,-0.180729,-0.53133,6.839074
24/10/2014 16:10,-74.469,-135.634,1072.85,-1430.098,-1398.804,-7156.824,6.766643,0.955648,-2.078978
26/10/2014 10:23,30.251,-92.149,334.07,-217.596,-5798.773,3362.763,0.871048,-4.068092,-6.748918
28/10/2014 4:39,50.04,-173.555,781.72,-4577.368,-517.105,5464.856,6.055185,-0.810568,4.253234
30/10/2014 2:30,-1.228,-156.11,1205.73,-6932.543,-3070.611,-161.668,0.484963,-0.390767,6.990873
01/11/2014 15:58,0.079,-3.156,1133.41,7500.146,-413.489,10.277,-0.46127,0.595598,7.04974
03/11/2014 7:06,-28.09,121.913,1321.26,-3592.883,5769.356,-3607.469,-2.177605,2.098476,6.205708
05/11/2014 11:59,-35.667,42.506,1332.52,4622.399,4236.561,-4475.221,2.144627,3.161189,5.735435
